,RPneg_BATCirc_391,RPneg_BATCirc_403,RPneg_BATCirc_453,RPneg_BATCirc_395,RPneg_BATCirc_405,RPneg_BATCirc_415,RPneg_BATCirc_463,RPneg_BATCirc_431,RPneg_BATCirc_435,RPneg_BATCirc_439,RPneg_BATCirc_411,RPneg_BATCirc_425,RPneg_BATCirc_445,RPneg_BATCirc_383,RPneg_BATCirc_407,RPneg_BATCirc_417,RPneg_BATCirc_381,RPneg_BATCirc_393,RPneg_BATCirc_419,RPneg_BATCirc_459,RPneg_BATCirc_413,RPneg_BATCirc_447,RPneg_BATCirc_avg,RPneg_BATCirc_427,RPneg_BATCirc_433,RPneg_BATCirc_437
n_13/226.9955mz/1.05min Thiolutin,-0.330053142,-0.006388423,-0.064641384,-1.67986749,-0.996241714,-2.176390667,-0.992927136,0.055254336,0.296216583,0.318071039,-0.082710482,-1.304859961,-1.375539437,0.56719294,-0.854282356,0.766771989,0.684619856,0.764514627,-0.48965951,0.197408679,1.626651006,1.009284494,1.321352097,1.257416199,0.252023055,1.236784803
n_608/365.1334mz/3.36min 1-1;2;3;4;5-Pentahydroxypent-1-yl-1;2;3;4-tetrahydro-beta-carboline-3-carboxylate,-0.41070866,-1.04332627,-0.08054289,-0.35234203,-0.13827488,-0.78123631,0.12203865,-0.45447857,-1.80999817,-1.84197124,-0.19098222,-1.23142509,-1.34071003,0.58119887,1.15031214,0.37589783,1.15818555,1.64403952,0.45924866,0.4915653,1.93655011,-0.28952583,1.04746005,1.21873158,-0.07710699,-0.14259909
n_751/758.1360mz/1.51min,0.53467333,-0.86796111,-1.98279209,0.21586468,-0.39371014,-2.32798134,-1.78772577,-0.2858603,0.04641261,0.27598004,-1.01673741,0.82025278,0.73608145,1.30831472,1.08632866,-0.35720473,0.27999343,0.43868054,-0.69416164,0.610124,0.4369606,0.15746468,0.27621593,2.06839107,0.21131183,0.21108419
n_917/298.0224mz/1.05min,0.18002462,-1.41127829,0.19680247,0.30593277,-1.22524543,0.00186919,1.59608646,-0.75347121,-0.1413655,-0.9735286,0.13282369,-1.69845707,-0.0816369,0.58048478,-0.87695621,0.70149326,0.56260826,0.87722031,-1.08765913,-0.1782086,1.45878186,1.3851333,1.39043409,0.13161003,-1.92921717,0.85571904
n_248/316.0333mz/1.05min,-1.336003202,-0.395862476,0.022209375,-2.121721429,-1.190079986,-1.984962466,-0.818867258,-0.05392635,-0.187568887,0.207719684,0.84437813,-0.001008069,-0.383560116,0.245231808,-1.613873409,0.825644456,0.445620367,0.685574798,1.171386717,0.193839187,0.951380214,1.354468395,1.143678466,-0.013147082,1.224270912,0.785178219
n_410/467.0899mz/2.51min,-1.46159539,-0.56567819,0.51940594,-1.84063468,-0.16164211,-0.97494945,0.31022851,-0.09005393,-1.07553937,-2.25045509,-0.50494758,-0.5692136,-0.56165967,1.35705367,1.07966209,1.13123628,0.78572122,0.1568399,0.33665889,0.65875188,0.99352706,0.32595663,1.07288729,-0.40061234,0.05418353,1.67486851
n_690/321.0481mz/1.55min 5-Thymidylic acid,1.02636266,-0.69337026,-0.94028483,1.83849213,1.00806727,0.87351172,-0.33449328,0.57897168,0.51570067,2.6403129,0.17305041,1.17682875,-0.40525164,-0.70188092,-1.05112836,0.08173477,-0.73587456,-0.65399001,-1.40682489,-0.87601703,-0.03477787,0.28512979,0.16068475,-0.67140908,-0.39662398,-1.45692078
n_57/203.0814mz/4.69min L-Tryptophan,0.5776679,0.6904803,-0.7541798,-0.3127669,0.2276474,-1.8316562,-0.6242205,0.3664643,-0.707404,0.611119,-0.7347136,-0.4836059,-0.2029832,1.4734295,2.8080155,0.9647399,0.4843612,0.2232025,-0.9155392,-0.2512548,0.5354603,0.7654966,0.6422204,-0.807753,-1.4903953,-1.2538326
n_195/111.0092mz/1.05min 3-Furoic acid,-0.77288203,0.35181395,-0.09887407,-1.46055953,-1.38347571,-1.20624888,-0.75984821,-0.09036694,-0.51215556,0.40718506,0.22766933,-1.55102129,-1.1180398,0.67995956,-1.14428345,0.2334807,-0.14290979,1.06575869,-0.4791514,0.31625635,1.85215605,1.28192638,1.55408003,1.16379434,0.23033539,1.35540083
n_462/322.9401mz/5.07min,-0.6359268,-1.2807371,-2.3756516,-0.3805834,-0.3399259,0.7486392,-0.4215203,0.568967,1.3279412,1.0120835,1.3344104,0.8240475,1.6245422,0.7268639,-0.4879483,-0.4336212,0.3388478,-0.8802062,0.6793427,-0.1950553,-0.9301176,1.4411386,0.310132,-0.7360032,-0.4263179,-1.4133414
n_400/310.9896mz/6.39min,-0.42370866,0.45598455,0.21953367,-1.59745368,1.04345402,0.22369533,-0.63105467,1.0087807,-0.92422246,0.12747724,-0.04679136,-0.57698899,0.06604033,1.46698476,0.92699006,0.11728679,0.78387513,-0.55904113,1.02662959,-0.07320295,0.07239213,1.10389973,0.56176373,-3.28786224,-0.15559072,-0.92887092
n_209/506.0898mz/4.34min,1.40223814,0.46848348,0.71504225,1.33650604,1.21093344,1.31855066,1.2828136,0.76158583,-0.48939102,0.29917143,-0.05144885,-0.34063154,0.17109587,-0.61995294,0.75380927,0.5438239,-0.15072377,-2.09185948,-0.50558979,-1.04731869,-1.31589551,0.18765731,-0.50299842,-1.14451592,-0.12641722,-2.06496808
n_54/173.0083mz/1.05min cis-Aconitic acid,-0.296983037,-0.005211603,-0.195179676,-1.60859982,-0.989723714,-2.374699263,-1.098987182,0.126910377,0.510494674,0.388227688,-0.038787983,-1.161176906,-1.023814609,0.496874631,-0.947723805,0.544982892,0.537789202,0.550035252,-0.585575127,0.08339721,1.598587159,1.109358312,1.354592825,1.281889527,0.388696028,1.35462695
n_381/289.0171mz/1.12min,-2.3082537,0.5498266,-0.275632,-1.4670976,-0.3596856,-1.1509554,-1.4916441,0.6235835,-0.3581767,0.2859931,-0.3505423,-0.5094335,-0.4921484,0.3581262,1.4975352,1.2374865,0.606804,1.4600569,0.8290128,1.3965878,-0.3306891,0.9566785,0.3791493,-0.1595217,-1.3510083,0.4239481
n_291/233.0760mz/0.99min L-beta-aspartyl-L-threonine,-0.378960517,-0.444217751,-0.58416187,-0.406484341,-0.889593395,-0.639191107,-0.477217398,-0.220150321,-0.808411295,-0.762274963,-0.768059323,-0.603396247,-0.818340691,2.618183959,1.870968657,0.894317535,-1.422483624,-0.237223653,1.508628073,0.333792912,1.481328707,-0.041326005,0.876330051,0.737428997,-0.829422652,0.009936264
n_52/71.0141mz/1.62min Pyruvaldehyde,-1.469295635,0.268928149,0.004722973,0.377656758,0.298646499,0.307611669,-0.683672416,0.341294678,0.432817677,0.167881235,-3.285447163,-1.464574614,-1.757945098,0.765733237,0.889141559,0.282904714,0.571288188,0.796938948,1.297061646,0.829622653,-0.435698185,0.386520512,-0.014018726,0.15401825,0.572484054,0.36537844
n_252/114.0556mz/6.39min L-Proline,1.48673104,0.42668486,0.24770963,-1.41663606,0.23567848,0.16707482,-1.49585704,0.07900084,-1.16952483,0.32737743,-0.29696325,-0.78799067,0.12692751,0.53721805,0.6128922,-0.38599734,0.01449551,-0.25855265,2.02501005,-0.64997329,0.63829176,1.56076347,1.13549954,-2.45476882,-0.03535143,-0.6697398
n_376/518.0364mz/1.12min,-0.2788573,0.9552157,1.2547495,0.8152434,0.5786335,1.6259196,0.442181,-0.7523818,0.8293741,-0.1040541,-0.2365549,-2.0951973,-2.0779677,-0.5542478,0.5931365,-0.7935463,0.7878468,0.922068,0.8243855,0.3197017,-1.4131961,-0.5761576,-0.990551,0.6398983,0.3671059,-1.0827477
n_839/619.0352mz/1.38min,0.4098311,-0.9343589,-0.3851561,0.7024899,0.2892576,0.2970363,-0.9133444,-1.1382065,-0.3009104,0.8384003,-1.1889469,0.2355827,-0.7014449,-0.748623,0.8447774,-0.2236844,0.2238669,-0.1306517,2.7953424,0.2466041,-0.2140683,-1.3306717,-1.4513199,2.0099336,-0.222964,0.9912288
n_543/254.0507mz/1.19min,-1.395681815,-1.02610542,1.296393294,-1.265440806,-0.020134756,-0.522222437,1.957252547,-0.006405093,-0.444452877,0.761239977,-0.189441401,-0.498194489,-0.897269609,2.027164384,1.045814559,1.00015692,1.083045478,-0.297688468,0.508058929,0.465511311,-1.111783297,-0.50566354,-0.798994324,-1.509678289,-0.239145042,0.583664265
n_344/215.9979mz/1.02min,-0.82578296,-0.58821968,-1.31747559,0.71159621,0.34904293,-0.28771215,-0.7972638,-0.69840052,-1.55081175,-0.97044728,1.00461289,-0.07375851,0.51747072,0.53592779,1.33191027,1.08806399,1.24802128,1.78332414,0.03477895,1.60277253,-0.64680902,-1.22700167,-0.62157213,1.14975284,-0.71356645,-1.03845305
n_245/168.9886mz/5.73min,3.1409705,0.3384451,0.2674506,2.0771517,0.3029378,-0.3929784,1.2203872,-0.2583042,-0.1889771,-0.2775932,0.1249349,-1.2984344,-0.1795378,-0.6224152,0.6591877,0.2108572,0.1546063,-1.2273497,-0.1500965,-0.3502921,-0.8714836,0.195392,-0.3656143,0.1326478,-1.366853,-1.2750391
n_43/243.0432mz/5.05min,1.11666336,0.48176131,-0.30045871,1.52269269,0.43437486,1.145759,-0.69964888,-0.56670837,-0.55571215,0.22022802,0.40452142,-0.1364766,1.98564796,-0.48262398,-1.05635762,-0.60710334,0.27379733,-1.59856761,0.44598745,-0.09087186,-0.64284052,1.38397928,0.46912211,-0.23574807,-0.24736193,-2.66405515
n_586/574.9668mz/0.90min,0.810014813,0.008208146,0.724123404,0.307630612,0.93487199,0.895866331,1.305230936,2.223244533,0.024618785,0.849933952,-1.411237845,-0.26280003,-1.276730596,0.589805387,-0.277800364,0.301476704,0.614444569,-2.04084598,0.255031564,-0.020075463,-1.015285996,-0.384586919,-0.711371717,-1.28722876,-1.540983817,0.384445761
n_132/535.1505mz/2.13min 1;4-beta-D-Glucan,-0.1537559,0.2669969,-1.5728701,-0.5908361,0.2022312,-0.8639973,-1.4942267,-1.19801,-1.706782,-1.3999322,-0.1788575,0.2789784,0.3822807,-0.8859628,0.9230013,0.9401406,0.611768,-0.4830333,-0.7694712,1.1401353,1.3067166,0.927762,1.1318737,1.4020837,0.7029107,1.0808559
n_306/57.0351mz/1.05min Acetone,-0.04833945,0.0965244,-0.04329895,-0.84763428,-0.48266043,-1.23781057,-3.84524284,0.24297489,0.3795059,0.46624892,0.46382513,-0.59865158,-0.53250462,0.45385193,-0.71960235,0.52599733,0.44687809,0.49681693,-0.4867097,0.10105054,1.18667016,0.92960574,1.05479781,0.69142463,0.53248098,0.7738014
n_314/698.0763mz/1.24min,0.74876735,0.81078145,0.27560894,1.12372434,0.17148377,-0.23421768,0.42056069,1.06689281,0.56624483,0.27154999,-0.17256147,0.13812009,-0.01367718,1.0147275,0.86636882,0.13733516,-4.04910379,-0.34127162,-0.12929454,-0.3600303,0.40032218,-0.30924366,-0.06286362,-0.62647413,-0.75081209,-0.96293784
n_905/575.5961mz/1.95min,1.402120123,-0.437990015,-0.723924603,1.543628063,0.022395788,1.081852681,-0.66337256,-1.671401408,-2.869990475,0.004544654,1.771069405,0.513390789,0.289681571,1.329769105,0.587141957,-0.578474367,-0.4066259,-0.572303488,0.343973295,-0.362457107,-0.339343694,0.518282638,0.052863736,-0.258978227,-0.2802569,-0.29559506
n_768/210.0369mz/1.58min,-1.5211868,-1.1458742,1.3235089,0.1630105,0.1021195,0.688274,-0.1059029,-0.5507043,-1.287405,1.0624709,0.4345642,1.7762513,-0.2208156,-0.4714518,-0.9021196,1.5463222,-0.9858476,-0.0329907,1.0170432,0.6309543,-1.2010408,-0.7491506,-0.9879938,1.2904462,-0.9685302,1.0960485
n_481/580.5140mz/4.49min,0.68712483,1.01957463,-0.3949012,1.4281109,0.11969328,1.23366734,0.76342251,1.47772859,-0.03460467,-0.35009248,0.65349707,0.95032764,0.9253895,-1.0741591,-0.21438776,-1.0009075,-0.30159907,-1.47491159,0.19072364,-1.07386144,-1.48470338,0.75468577,-0.337262,0.25901661,-0.27355339,-2.44801874
n_133/245.0445mz/1.36min Dibenzyl disulfide,-0.523934,-0.84860183,0.13781344,1.49391541,-0.21801439,2.19411466,0.28611153,-3.07197319,-0.25463386,-0.38615773,-0.86815424,1.10623676,-0.20748144,1.3091696,0.76122131,-0.0622458,0.84409233,0.60925525,0.18740492,-0.01821211,-0.87068074,0.19273637,-0.29921614,-0.63046222,-0.24518866,-0.61711524
n_650/522.0627mz/4.34min,0.93683172,-1.39704151,-0.27841646,-0.3564985,0.32417086,1.46233295,1.8900957,0.18102025,-1.92880599,0.40221613,-2.13969243,-1.05881522,-1.20527704,-0.58494546,-0.08460911,-0.06545534,1.13147476,0.80563053,0.05537216,0.63207163,-0.04770778,0.15852196,0.01201712,1.51110866,-0.06949842,-0.28610116
n_745/227.0136mz/1.61min,0.39065393,1.24235203,0.96532632,-1.70197314,1.36181756,-1.22223168,1.63792496,1.6747802,1.64067829,0.66306477,-0.17791788,-0.47787571,-1.96111281,0.0366041,-0.06718436,-0.0187076,-0.05537184,0.07371897,0.02234938,-0.57811801,-0.50611895,-0.04791798,-0.28378469,-0.77702421,-1.37957047,-0.45436118
n_783/661.1237mz/1.32min,-0.192860428,0.15670976,-0.409978711,0.637952988,0.169370779,0.227911373,0.330934707,0.412420315,-0.210394922,-0.780794805,-1.338586468,-1.810155575,-1.64331046,2.05672183,1.519511904,0.338738628,0.99168344,-0.03012199,1.934473391,0.307424325,0.007685982,-0.854396755,-0.406209106,0.79981843,-0.863960935,-1.350587697
n_112/302.0654mz/1.86min,0.86597484,0.60443535,-0.78555052,0.12652595,-0.97251666,-0.26344084,-1.0416718,0.68317692,0.01029092,0.33299451,0.38933444,1.90366584,2.13497182,-0.43460852,0.42149082,-0.39151777,-0.1358743,-0.25690252,-1.75297415,-0.73612304,0.68646429,-2.03725022,-0.29916688,1.17289775,0.86464751,-1.08927373
n_641/180.8772mz/1.18min,-1.99792245,-0.21117169,0.75259419,-2.23681915,-0.23021363,-1.00065082,1.77922683,0.37379046,1.49049097,1.0612136,-1.04543715,-0.28204168,-0.97663059,1.57874748,-0.11804017,0.68744706,0.70799916,0.56478175,0.66744306,0.17170296,-0.50619288,-0.37246786,-0.44738716,-0.76731256,0.03962137,0.3172289
n_363/292.0371mz/1.30min N-2-hydroxymethyl-3-chloro-4-hydroxyphenylanthranilic acid,0.12180777,-0.195227,-0.5999207,0.42725709,0.88485742,-0.29610817,0.07273375,0.76342258,-1.16099343,0.03968829,-1.51233249,-0.92647242,0.3994253,0.66508843,0.09463239,2.56576738,1.13652375,0.91055556,0.22717852,0.73287568,0.63725962,-1.08930203,-0.15818907,-2.35341787,-1.15671082,-0.23039955
n_762/287.0863mz/3.92min Iprobenfos,-0.40394888,-1.536237802,-0.63453492,1.681505186,-0.291724716,0.008801694,0.537468549,-0.212951668,-1.35031559,-0.146146926,-0.54318471,0.132140868,-0.211999402,-0.498035488,-1.230023847,-0.185466787,-0.780323369,-0.459780537,-1.53081875,0.187344207,2.411558505,0.907018022,1.731344316,0.684206806,0.97518653,0.75891871
n_227/271.0686mz/4.69min Pyridine N-oxide glucuronide,-0.08803934,0.4163737,-0.288777,-0.42091855,0.17449552,-1.616656,-0.12898909,0.50539988,-0.81399403,0.23567272,-0.6201649,-0.6441533,-0.25583117,1.73877883,2.46396533,1.32690064,0.68911429,0.96086655,-0.76180505,-0.04597093,0.15087535,0.74031349,0.43057844,-0.68529872,-1.69796343,-1.76477322
n_402/557.1319mz/2.14min Piceatannol 4'-galloylglucoside,-0.5608257,0.2042525,-0.3550104,-1.3403665,0.1056733,-1.553482,-0.2615444,0.177183,-0.1600363,-0.2463904,-0.8961336,-0.4674864,-0.8320125,-1.5986714,1.1926649,1.3469216,0.6503495,-0.9502039,-1.7026729,1.202104,1.2512501,0.9730095,1.1133983,1.5648181,0.3714008,0.7718107
n_255/170.0446mz/1.57min Tetrahydrodipicolinate,0.96143904,0.43610596,0.10076592,0.61002819,0.66782505,0.0072993,-0.52243072,-0.52398208,0.08468747,1.52981752,0.53251931,1.62286994,0.83883872,-0.52848001,-0.71025283,0.11873683,-1.00801921,-2.56557481,-1.89041627,0.19301518,-0.67160736,-0.88945584,-0.78704937,1.45562058,0.23008653,0.70761298
n_587/672.0613mz/1.50min,-1.16E+00,-1.86E+00,8.62E-01,-7.20E-01,1.06E-01,5.29E-01,1.85E-01,-1.03E+00,-8.46E-01,-9.40E-01,-4.72E-01,-1.73E+00,-1.11E+00,1.38E+00,-4.42E-02,1.21E+00,1.32E+00,1.36E+00,2.11E-01,7.41E-01,6.72E-02,1.64E+00,8.63E-01,1.46E-01,-6.92E-01,-8.84E-05
n_685/332.0939mz/4.31min,0.78960004,0.45631077,0.55869842,-1.9356255,-0.70320086,0.09721447,0.49636027,1.13047196,1.15069591,0.36109604,-0.37723042,0.55645644,0.72367745,-0.15924036,-0.04439409,0.03503706,-2.48312805,0.18647025,-1.41991291,-2.23572773,0.96119387,0.56961494,0.76526123,0.70457469,-0.26509079,0.08081689
n_419/725.1056mz/1.22min,-0.315904,-2.2278182,-0.8999707,-0.9915169,-0.4327695,0.2263437,-0.3041695,-1.918437,-1.3281421,-0.7387204,1.4663546,-0.5872995,0.2188174,1.2243405,0.3505619,1.0341946,0.446965,-0.2690972,0.9086445,0.8402691,0.8088662,1.5221914,1.1661468,-0.4536477,-0.2012007,0.454998
n_758/868.0879mz/4.76min,-0.16257781,0.84510376,0.90179571,1.49281288,0.9753459,1.15074952,1.47097134,0.47290953,-0.30634585,0.04957306,0.90950643,0.43761563,0.22990662,0.47068979,-0.53492203,-0.28401302,-0.45670993,-0.51386431,0.23009874,0.28426208,-2.12007113,-1.64809396,-1.90692006,0.08089952,-0.26025158,-1.80847082
n_955/677.1100mz/4.44min,1.4276643,-0.5538972,0.5147667,0.922013,-1.1254481,-1.9388145,-1.2715547,0.2945079,0.3317595,0.1029025,1.6786588,-0.342434,1.3947033,0.529965,-1.0396337,-0.559874,-0.7370584,-0.0914263,-0.3104135,-1.732786,0.683707,1.2235579,0.7395335,-0.1675917,-0.972319,0.9995116
n_581/311.0997mz/7.59min Galactose-beta-1;4-xylose,-0.47102556,-0.15822038,-0.61623959,-0.02074238,-0.26456779,-0.37528407,-1.38218308,0.75395647,0.3877738,0.75854293,-1.63989188,-0.45432843,-2.10639203,-0.63350444,0.19367554,1.27869784,2.40268771,0.25500358,-0.01122845,1.56294679,0.39553494,-0.47501336,-0.14890455,1.58934729,-0.37080242,-0.44983847
n_696/256.0542mz/0.96min,2.078324774,-0.674102329,-1.126966329,-0.409188237,-0.361601203,-0.405519041,-0.432565045,2.118336495,-0.211893091,-1.42570273,-0.622078834,0.258992137,-1.461088779,0.075166539,-0.53282681,0.832620077,0.828586934,-0.337088618,-1.386100232,-0.264007081,1.227435445,-0.007322958,0.646800382,-0.510631296,0.350198402,1.752221424
n_129/421.0009mz/1.38min,-0.200989353,-0.006370507,-0.328628283,-0.232096273,-0.629633219,-0.170063841,-0.162541652,0.175928276,1.439684054,-0.917005712,0.742986653,-1.159078402,0.355371488,-0.894491302,-0.815722231,-1.549508322,-0.302637695,0.416745132,2.559982585,0.036078584,-1.246168212,-0.434530473,-0.862104676,1.343835332,1.848634118,0.99232393
n_712/280.0106mz/1.11min,0.810811994,0.140256348,-1.495025458,-0.301306586,-0.713984624,-1.340950102,-0.473309096,0.635301528,0.608991659,0.652421779,-0.410466638,-1.016490245,-1.062478967,0.357080278,0.919315681,1.185679003,-0.300782141,2.126864719,0.564600564,1.38372253,-0.327110994,0.415605961,0.037063822,0.139567595,-2.531360538,-0.004018069
n_675/711.1059mz/1.87min,-0.54970251,-0.6424246,-0.81298471,-0.62413303,-1.89501528,-1.01760894,-0.37032909,-0.77891309,-0.96067895,-0.9788656,0.15858141,-0.01357338,-0.31348801,1.31541701,1.64152315,0.92460332,-1.20430202,-0.41064873,-0.62193732,0.27576295,1.08769284,1.71473975,1.39960916,0.7773243,0.88831864,1.01103273
n_584/470.0245mz/1.04min,-0.66932642,-0.96304488,-0.36930901,1.15839457,0.91340846,0.49457781,0.28242825,1.09635752,-0.56213741,-0.2628453,0.40692734,0.29574891,1.05190916,-0.18904427,0.14040978,-1.99187769,1.2185381,1.55237507,0.94899236,1.09043836,-2.06557797,-0.53613507,-1.28328202,0.09144768,-0.68568781,-1.16368554
n_1034/200.0549mz/1.57min,0.43615553,-0.61404317,-0.42027244,-0.79869163,-0.23978962,-0.15748474,0.14699713,2.35964348,-0.42725302,0.91965558,0.34888404,-0.54245306,-0.19595497,-0.11972254,-1.29032178,-1.10377955,0.09268528,-0.87199267,0.01948833,0.98609163,1.26682602,1.65501244,1.42998061,-1.9900603,-1.17949954,0.28989898
n_88/480.0757mz/1.12min,0.21088931,0.23428915,1.21382114,1.64664199,0.3115795,2.11664706,0.9277169,-1.53216565,-0.08545743,-0.73915795,-1.00330623,-0.33134642,-0.50510218,-0.36502729,0.28261199,-0.92521998,0.95470919,0.50468961,0.58214271,0.072502,-1.76348652,-0.90422874,-1.31307952,0.7104443,0.90394785,-1.20505478
n_795/312.9889mz/6.39min,-0.18972888,0.385341578,0.461403601,-1.277299059,0.420074491,0.393438434,-0.300677031,1.263191076,-0.73138463,-0.224944525,0.109651674,-0.073445321,0.009635143,1.150932905,0.445119013,0.162630438,1.005275855,0.149026088,1.485332702,0.224763651,-0.330597326,0.687207657,0.163360755,-3.260820372,-0.061809371,-2.065678544
n_954/392.0738mz/1.10min,-0.458321231,-0.926195502,-0.003833434,1.187040996,0.024293538,1.87007614,0.210703657,-1.080305516,-0.697853428,-0.908682071,2.134990528,0.112195442,-0.342575483,-1.967874449,-1.845584452,-0.45608027,-0.452443949,0.13174531,0.086631512,-0.109442998,0.829100778,-0.576519987,0.924305135,0.41120081,1.290803094,0.612625831
n_702/322.0453mz/0.98min Cytidine monophosphate,-0.5538616,-2.93255549,-0.07973492,0.37457717,-0.74688322,1.22497169,0.5955688,-0.34225599,-1.05870195,-0.57623596,0.68403326,0.0263564,-0.73837008,-0.01491718,1.3649345,0.56403818,1.07082178,1.18082426,0.34535632,1.06247131,0.25271797,-1.81845616,-0.64118368,1.04766574,0.0239418,-0.31512291
n_282/130.0614mz/0.96min Creatine,0.09964714,-0.53366801,-0.06396596,0.17104917,1.79932522,0.04734268,0.3699119,-0.34498782,-1.37830135,-1.96556171,-0.35030055,-0.59777461,-0.21474135,1.29083921,0.06158872,-0.57645038,1.83683847,1.83190662,0.61467794,-0.03129958,0.63424341,-1.67938298,-0.36046486,0.98494599,-0.59956683,-1.04585047
n_101/145.0602mz/0.90min,-0.30362375,0.76767376,0.31217706,-0.5837091,1.37689123,-0.86753437,-0.86712603,1.56554146,1.51202973,0.95666499,-0.98012131,1.13095191,0.89566536,0.49138892,0.91683531,0.1584681,-0.02552286,-0.47167898,0.1844242,0.3468698,0.09988506,-1.67540555,-0.70847595,-0.58958943,-1.8216222,-1.82105736
n_726/353.9897mz/1.38min,0.42467308,1.01538855,-0.65002241,-0.57605945,0.04006264,-1.46703071,-1.15569237,1.17793272,1.68931923,0.93614147,0.45747778,0.81021983,1.602653,-0.55178764,-1.66916139,-1.41563432,-1.78921388,-0.86925987,0.70539722,-0.67686537,-0.0601165,0.64146082,0.27863196,0.26047451,0.60957203,0.23143908
n_35/323.0271mz/1.04min Uridine 5'-monophosphate,0.57293443,-0.37008559,0.44054265,1.21664015,1.0872248,1.26568199,1.17967713,0.48893938,-0.06161121,0.47643134,1.75539223,1.00663289,0.92546696,-0.95103728,-1.16059774,-2.38397205,-0.07162022,-0.30333346,-0.18535022,-0.37191621,-1.64874653,-0.28821496,-0.91496114,-0.85572933,-0.01894085,-0.82944719
n_118/269.0537mz/0.99min Leflunomide,-0.42798073,-0.89851948,-0.96609514,-0.24568072,-1.47264226,-0.54014431,-0.74734719,-1.01690046,-1.0834659,-1.24807566,-0.70320348,-0.51248831,-0.94516363,2.02106578,1.63252962,1.00890317,-0.40475841,0.33360361,1.35972165,0.66104017,1.39267656,0.37841163,1.00856729,0.96125788,-0.02231957,0.47700789
n_440/129.0548mz/4.57min 2-Methyl-3-ketovaleric acid,2.54392473,0.59759306,0.48930255,1.58530355,0.85730675,0.43438994,0.68543798,-0.10058557,0.51194943,0.56694665,0.38457343,-1.48885597,0.67851338,0.11165524,0.25887628,0.08937314,-0.04089541,-2.11019771,-0.94993907,-1.60756042,-0.61673564,-0.28951706,-0.49654966,-1.17796526,-0.63097261,-0.28537171
n_373/178.8792mz/1.18min,-2.05884683,-0.14682196,0.75273298,-2.2063233,-0.21184341,-0.90611918,1.7599074,0.34389828,1.49177706,1.17011968,-1.17753952,-0.2133862,-0.88283503,1.52826848,-0.15588347,0.69667307,0.67462919,0.49767596,0.66216736,0.29106865,-0.55839986,-0.44515306,-0.5118674,-0.70298785,0.02735456,0.28173438
n_554/404.0127mz/1.07min,0.48641733,-0.21842761,0.48232197,0.60559062,-0.55799838,0.60899212,0.24379289,-1.0456857,-0.71043823,-1.17208934,0.42998172,0.23670784,0.84496008,0.08585724,1.23848165,-0.25615818,1.26792948,1.51955214,-0.48310258,0.15406558,-0.64287937,-1.47586216,-1.02530807,1.67679215,0.36698341,-2.66047661
n_508/635.1173mz/1.49min,-0.49926667,-0.97163883,0.46811232,-0.41203959,-0.16792029,0.19365852,-0.14415089,-1.83386328,-0.73056489,-1.22266535,-0.1859543,-1.85732502,-1.0351299,1.22608904,1.85571938,1.70475688,1.12737071,0.67652685,0.09927083,1.10890664,-0.42348095,-0.0906312,-0.27850497,1.38558795,-0.43087602,0.43801304
n_257/450.2602mz/8.47min LysoPE00/1619Z,0.618806609,-0.004986246,-0.756277125,-0.08037108,-1.300146245,-0.587159402,0.397482777,-0.794624908,-0.362622058,-0.188870116,-1.273229224,-0.55636874,-0.678625793,1.086357456,0.441372166,0.210033627,0.37771637,0.449559782,0.152209693,-0.096500129,2.953766496,-0.149616253,1.922639188,0.651176856,-0.496473708,-1.935249994
n_514/110.9859mz/0.94min Methylphosphate,-2.039701017,-0.237820115,-0.214458038,-0.505235275,-0.220660416,-1.37229915,0.005153014,1.541686334,-1.306057288,0.308429659,-1.090365724,-0.808632266,-0.717617135,1.131881114,0.08066834,1.499727244,0.184617973,1.335202238,-0.441264986,1.220345631,0.778655248,1.418992538,1.093520414,-0.885143107,-0.168697292,-0.590927937
n_398/509.0268mz/1.08min,0.75624111,0.71183603,0.55632383,0.89764431,-0.2087707,0.84602452,1.11271675,-0.62886638,0.3707732,-0.0857176,0.70841738,0.78763456,1.1737233,-0.37464472,-1.04503598,-2.36891869,0.73149107,-0.42981977,0.05488529,-0.81605567,-0.67318599,-0.46425898,-0.57049036,1.0450068,0.58003555,-2.66698886
n_415/316.0012mz/4.31min,-1.373302441,0.147201683,-0.27837718,-0.7047589,-0.001653477,-1.446399446,-0.137808168,1.510461512,1.769856637,1.119457834,-0.173317356,-0.335789458,0.68798594,-0.904003255,-0.771316294,-0.18656822,-0.753680772,-1.425635051,-0.273217873,-0.791885054,1.217600779,1.79801511,1.509205491,0.053911792,-0.948356944,0.692373112
n_164/670.0896mz/1.06min,0.79958949,-0.31185769,0.53855069,1.29376077,0.22778925,1.57011297,0.72859785,-0.58023004,-0.39663553,-0.2966949,1.92021461,1.43208266,1.32938078,-0.80070421,-0.67067894,-1.81860623,0.01565698,-0.19543796,-0.06399467,-0.66041199,-1.40719216,-1.01604341,-1.20669871,0.12491656,0.63020956,-1.18567573
n_273/335.0587mz/2.13min Dicumarol,-0.86255554,0.03784466,-1.08757507,-0.78369587,0.19164569,-0.50401949,-0.89853328,-1.14344985,-1.89697493,-1.7025074,-0.20655987,-0.30319571,0.11989975,-0.61758676,1.03180644,1.62594936,1.10819427,0.20069042,-0.94660549,1.29212606,0.88556203,1.08463206,0.97006181,1.46054549,0.44510125,0.49919998
